article_slug,broken_link,fix_to,target_exists
standard-vs-distroless-images,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-layers-deep-dive,/knowledge-hub/container-image-layers-deep-dive,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/02-explore/deep-dives/strip-down-vs-source-built,/knowledge-hub/strip-down-vs-source-built,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/05-deploy/migration/dockerfile-to-yaml-migration,/knowledge-hub/dockerfile-to-yaml-migration,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
standard-vs-distroless-images,/tracks/knowledge_base/articles/01-understand/fundamentals/container-registries-compared,/knowledge-hub/container-registries-compared,YES
prebuild-stage-security,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
prebuild-stage-security,/tracks/knowledge_base/articles/07-secure/hardening/runtime-stage-security,/knowledge-hub/runtime-stage-security,YES
prebuild-stage-security,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
prebuild-stage-security,/tracks/knowledge_base/articles/02-explore/deep-dives/the-continuous-trust-loop,/knowledge-hub/the-continuous-trust-loop,YES
prebuild-stage-security,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
prebuild-stage-security,/tracks/knowledge_base/articles/05-deploy/migration/dockerfile-to-yaml-migration,/knowledge-hub/dockerfile-to-yaml-migration,YES
prebuild-stage-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-supply-chain-security,/knowledge-hub/what-is-supply-chain-security,YES
